"Name","Ecol_f0","Ecol_f1","Ecol_f2","SS_f0","SS_f1","SS_f2","Ecol_f3","Ecol_f4","SS_f3","SS_f4","Ecol_f5","Ecol_f6","SS_f5","SS_f6","Ecol_f7","Ecol_f8","SS_f7","SS_f8","POINT_X","POINT_Y","LBP","Time","Site_centr","Site_cen_1","Fire","EVC","Aspect","CosAsp","CreekIndex","DEM","SinAsp","Slope","SoA","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","max","mean","p10","p25","p50","p75","p90","S00","S05","S10","S15","S20","S25","S30","S35","S40","S45","S50","S55","S60","std","Pfc","OvCWavg","OvCWsum","OvHtavg","OvN08t10","OvN10t15","OvN15t20","OvN20t30","OvNum","CLdens","MsCover","MsNum","MsHtavg","liveWattle","DeadWattle","AllWattle","liveEucal","DeadEucal","shrub_CNT","MS_CNT","Top_CNT","FMZ","Logging","BIO01_250m","BIO02_250m","BIO03_250m","BIO04_250m","BIO05_250m","BIO06_250m","BIO07_250m","BIO08_250m","BIO09_250m","BIO10_250m","BIO11_250m","BIO12_250m","BIO13_250m","BIO14_250m","BIO15_250m","BIO16_250m","BIO17_250m","BIO18_250m","BIO19_250m","NEAR_FID","NEAR_DIST","block1k","block2k","block3k","block4k","block5k","block6k","block7k","block8k","block9k","block10k","block11k","block12k","block13k","block14k","block15k","HBT0t2","LBP_fold1k","LBP_fold2k","LBP_fold3k","LBP_fold4k","LBP_fold5k","LBP_fold6k","LBP_fold7k","LBP_fold8k","LBP_fold9k","LBP_fold10k","LBP_fold11k","LBP_fold12k","LBP_fold13k","LBP_fold14k","LBP_fold15k"
"MCRd4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,402546.735474,5818888.02841,1,"2014_16",402547,5818888,1983,7,273.002,-0.950173,0,770.591,0.311722,7.54781,10.8486,10.5952,8.26629,41.8649,407.152,21.9401,2.19543,19.7446,6.134,15.5791,15.5791,5.55053,1429.76,174.046,57.0814,29.7385,485.852,217.532,217.532,467.77,36.9954,20.297,8.83029,13.1479,20.8583,27.3705,31.278,0.038908,0.125258,0.17779,0.166484,0.170902,0.148086,0.086866,0.051948,0.028416,0.005096,0.000256,0,0,8.67656,0.41397,9.91625,282.426,36.0612,18.576,12.254,0,0,28.4811,3.37,60.6,285,28.1833,5.375,0,5.375,14.5,0,2.75,2.25,1,1,1983,10.5958,8.30541,41.9719,407.44,21.9607,2.17268,19.788,6.13289,15.583,15.583,5.54817,1423.52,173.061,56.9137,29.6732,483.423,216.793,216.793,465.322,229,302.910422557,"402_5818","201_2909","134_1939","100_1454","80_1163","67_969","57_831","50_727","44_646","40_581","36_528","33_484","30_447","28_415","26_387",0,3,2,4,1,4,3,4,5,4,4,5,1,4,2,1
"S1-91-S",0,0,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,429294,5819324,1,"2016_17",429294,5819324,1939,7,212.811,0.684296,0,1091,-0.729204,11.1886,25.2574,8.5993,8.58353,42.1239,428.987,20.0217,-0.351624,20.3733,5.56797,13.8261,13.8261,3.32179,1786.15,233.425,70.9635,33.1897,623.461,268.919,268.919,586.072,51.9284,25.2307,3.90274,8.52202,24.5461,42.5348,47.852,0.166564,0.126286,0.165757,0.069972,0.018406,0.024472,0.032989,0.053427,0.089645,0.1232,0.117495,0.011773,0,17.7315,0.747354,9.14965,257.881,54.6059,24.0623,5.19815,0,0,28.1847,9.0275,15.75,197,16.2341,0.625,0,0.625,46,4,1.5,1.25,1.5,10,1939,8.55765,8.79548,42.6763,431.009,20.0723,-0.537443,20.6098,5.51895,13.8103,13.8103,3.26127,1784.17,233.164,70.8911,33.1772,622.581,268.597,268.597,585.607,207,2389.72998597,"429_5819","214_2909","143_1939","107_1454","85_1163","71_969","61_831","53_727","47_646","42_581","39_529","35_484","33_447","30_415","28_387",0,4,3,2,3,5,4,1,4,1,3,5,2,3,1,2
"S3-7-F",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,415420,5818939,1,"2016_17",415420,5818939,2010,7,320.127,0.950661,0,1089.95,-0.310231,15.6604,4.07016,9.62947,7.41355,38.7309,421.036,20.5736,1.43421,19.1394,4.95412,14.7987,14.7987,4.44224,1539.4,197.169,60.2968,32.1105,534.707,228.59,228.59,521.023,32.1949,15.9978,2.08927,7.9906,17.7541,23.63,26.7956,0.273016,0.048537,0.164471,0.129886,0.119892,0.146788,0.094311,0.020282,0.002794,1.5e-05,0,0,0,9.29175,0.492854,10.7154,330.529,38.1713,14.8681,7.56537,1.16803,0,30.8462,4.385,17.75,213,28.7727,3.875,2.125,6,30,4,2.25,2,1.75,8,0,9.6106,7.58962,39.2653,422.189,20.6386,1.30958,19.3291,4.93005,14.794,14.794,4.41241,1538.27,196.867,60.2621,32.0731,534.115,228.498,228.498,520.359,230,1688.88661549,"415_5818","207_2909","138_1939","103_1454","83_1163","69_969","59_831","51_727","46_646","41_581","37_528","34_484","31_447","29_415","27_387",1,2,3,4,3,2,4,2,2,3,3,1,3,3,1,2
"Alster1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,439094.699875,5819135.92674,0,"2014_16",439095,5819136,1939,7,82.4346,0.729478,1.96,952.181,0.684004,14.1512,28.2145,9.84946,7.24809,38.5828,417.551,20.666,1.88068,18.7853,5.5371,14.9991,14.9991,4.71567,1544.48,196.423,65.2942,31.0147,524.947,238.04,238.04,509.992,37.4351,15.5623,3.02344,5.46774,14.8408,24.4469,30.2463,0.320666,0.14226,0.083425,0.093148,0.082133,0.107383,0.100721,0.043489,0.010422,0.007314,0.005233,0.003733,7e-05,10.7859,0.674527,10.649,152.933,55.8839,5.47857,5.23389,0.00904047,0.116438,14.3612,5.985,17.75,156,25.1038,5.375,0,5.375,11.5,3.5,3,1.25,1,1,1994,9.86374,7.20346,38.4517,417.065,20.6568,1.92294,18.7338,5.26356,15.0074,15.0074,4.7348,1545.67,196.549,65.3489,31.0087,525.085,238.258,238.258,510.2,212,382.677905172,"439_5819","219_2909","146_1939","109_1454","87_1163","73_969","62_831","54_727","48_646","43_581","39_529","36_484","33_447","31_415","29_387",0,5,5,1,3,2,4,3,2,2,3,5,3,3,4,3
"MCRd2",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,401987.884665,5818918.28326,0,"2014_16",401988,5818918,1983,7,83.4089,-0.156014,2.4,749.737,0.987755,1.36312,62.8474,10.6478,8.33126,42.191,406.399,22.0165,2.27012,19.7464,6.21261,15.6234,15.6234,5.60926,1418.2,171.87,56.9017,29.5034,480.777,216.5,216.5,462.356,40.7816,23.9393,9.01702,16.3094,26.4733,31.6948,35.168,0.058776,0.092806,0.098539,0.091736,0.118031,0.174841,0.203306,0.134755,0.026252,0.000597,0.000326,3.9e-05,0,10.0982,0.419754,9.53575,453.561,42.2056,34.2967,13.2983,0,0,47.5643,4.12,35.6,299,27.9198,4.125,0,4.125,39.5,0,1.75,1.25,1.25,1,1984,10.6555,8.29114,42.1152,406.055,22.0067,2.31984,19.6868,6.22742,15.6274,15.6274,5.61937,1415.89,171.468,56.8542,29.4669,479.813,216.263,216.263,461.353,223,369.983538355,"401_5818","200_2909","133_1939","100_1454","80_1163","66_969","57_831","50_727","44_646","40_581","36_528","33_484","30_447","28_415","26_387",0,2,4,4,1,4,1,4,5,4,4,5,1,4,2,1
"S1-85-F",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,419189,5819103,0,"2016_17",419189,5819103,1939,7,148.283,-0.809286,8.36,886.039,-0.587414,14.1228,33.0756,9.8982,9.02038,43.8172,417.673,21.5913,1.00496,20.5863,5.32437,14.9966,14.9966,4.73111,1596.72,207.757,62.6159,32.7245,556.425,236.445,236.445,542.554,33.4374,13.184,2.0205,5.36923,12.7941,20.2561,24.9675,0.413055,0.091944,0.097074,0.107292,0.095006,0.076261,0.054223,0.039183,0.021266,0.004635,6.2e-05,0,0,9.06342,0.598959,12.299,230.016,45.6086,5.63443,9.72684,2.19736,0.616576,18.702,3.595,33.85,193,26.3594,15.75,3,18.75,2.25,0,2.75,1.25,1,1,1939,9.88661,8.9931,43.7453,417.658,21.5687,1.01077,20.5579,5.31197,14.9852,14.9852,4.71955,1594.95,207.47,62.5433,32.7149,555.822,236.18,236.18,541.994,246,1536.23995221,"419_5819","209_2909","139_1939","104_1454","83_1163","69_969","59_831","52_727","46_646","41_581","38_529","34_484","32_447","29_415","27_387",0,1,4,4,4,2,4,2,5,3,3,1,3,1,1,2
"TMV4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437842.899217,5818860.8827,1,"2014_16",437843,5818861,1939,7,268.238,-0.359477,7.6,1036.99,-0.933154,6.70684,42.8102,9.5754,7.65623,40.0436,415.716,20.561,1.4437,19.1173,6.61871,14.6801,14.6801,4.47205,1682.82,216.623,69.3037,32.0469,582.139,257.697,257.697,549.027,31.2807,14.3758,2.71692,7.00384,14.8025,21.3434,25.2243,0.295494,0.120815,0.093587,0.112262,0.222817,0.112503,0.026071,0.01085,0.004919,0.000637,3e-05,5e-06,4e-06,8.72008,0.640664,11.3933,129.517,45.6892,4.95901,2.50338,0,0,11.3678,4.44,46.5,281,25.9859,10.625,2.875,13.5,3,2,2.5,1.5,1.75,1,1990,9.50727,7.52077,39.6212,415.71,20.4296,1.44792,18.9817,6.54233,14.6129,14.6129,4.40377,1694.33,218.158,69.6746,32.1115,586.969,259.463,259.463,551.875,224,793.593746086,"437_5818","218_2909","145_1939","109_1454","87_1163","72_969","62_831","54_727","48_646","43_581","39_528","36_484","33_447","31_415","29_387",1,2,3,4,3,2,5,3,2,2,3,2,3,3,4,3
"MCRd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402260.808994,5819168.08344,1,"2014_16",402261,5819168,1983,7,51.1258,0.652184,5.72,714.05,0.75806,8.08186,19.2274,10.6513,8.28504,41.8379,411.227,22.0115,2.21098,19.8005,6.16994,15.686,15.686,5.55444,1412.78,171.194,56.6981,29.5012,478.942,215.699,215.699,460.654,38.8888,20.7258,2.64622,12.6749,23.5405,29.3643,32.9301,0.17243,0.048324,0.081307,0.132667,0.126118,0.175512,0.178609,0.078166,0.006447,0.000318,0.000118,0,0,10.939,0.397398,10.5252,365.591,39.3561,19.7714,14.1789,2.40293,0.387233,34.7347,3.74,48.25,270,28.9782,5.875,0,5.875,21.25,3,2,1.75,1.75,1,1983,10.7912,8.13261,41.3976,411.812,22.0762,2.43111,19.6451,6.3134,15.8327,15.8327,5.68014,1408.55,170.576,56.571,29.4708,477.365,215.159,215.159,459.103,220,369.983538355,"402_5819","201_2909","134_1939","100_1454","80_1163","67_969","57_831","50_727","44_646","40_581","36_529","33_484","30_447","28_415","26_387",0,4,2,4,1,4,3,4,5,4,4,1,1,4,2,1
"33",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,438224.301752,5818164.94941,1,"2014_16",438224,5818165,1939,7,9.26842,-0.987801,1.44,1140.03,0.15572,12.8504,8.83755,8.87287,7.24265,38.5698,417.082,19.6307,0.854306,18.7764,5.85538,13.998,13.998,3.75806,1710.06,219.79,70.3647,32.1117,593.509,262.411,262.411,554.365,32.8647,14.7301,2.41411,5.47574,14.2139,23.8484,27.6411,0.282127,0.146962,0.128151,0.094214,0.142093,0.121446,0.033493,0.026132,0.020529,0.004858,4e-06,0,0,9.80611,0.547039,10.3818,204.989,44.1936,11.0259,8.92284,1.30241,0,19.7451,4.77,46.15,342,26.7734,1.875,0,1.875,17.5,1.125,3,1.75,1.25,1,1993,8.89003,7.28132,38.6951,417.174,19.6677,0.850553,18.8171,5.8742,14.0161,14.0161,3.77417,1704.94,219.156,70.1812,32.0883,591.355,261.566,261.566,553.252,245,384.812713189,"438_5818","219_2909","146_1939","109_1454","87_1163","73_969","62_831","54_727","48_646","43_581","39_528","36_484","33_447","31_415","29_387",0,3,5,1,3,2,4,3,2,2,3,2,3,3,4,3
"28",0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,388405.477998,5818491.82162,0,"2014_16",388405,5818492,1983,7,80.7001,0.555944,1.2,545.523,-0.831219,18.3808,24.4014,12.1059,8.0482,42.2034,394.54,23.0907,4.02577,19.065,7.82468,16.8952,16.8952,7.196,1325.44,151.563,57.0591,26.4248,435.519,213.623,213.623,410.111,37.1779,18.3595,5.03407,10.9128,19.3739,25.6173,29.7914,0.230206,0.260392,0.088999,0.040222,0.045606,0.062881,0.067731,0.067124,0.057644,0.034873,0.023923,0.015662,0.004636,9.56478,0.433215,11.2297,447.252,45.9956,15.9865,11.894,3.65326,0.363837,39.8276,3.5625,24.2,310,20.8666,0.875,0.25,1.125,13,0,2,2.25,1.25,1,1939,12.3212,8.37467,43.257,393.171,23.4252,4.0649,19.3603,8.06502,17.0897,17.0897,7.42933,1317.82,150.706,56.7104,26.4422,433.186,212.466,212.466,407.825,242,895.211399431,"388_5818","194_2909","129_1939","97_1454","77_1163","64_969","55_831","48_727","43_646","38_581","35_528","32_484","29_447","27_415","25_387",4,4,1,4,5,4,2,2,5,5,4,4,4,4,2,4
